cebolla xonaca
ajo axox
kilo ki
aquí nican
haba ahuax
dinero tomin
chile amo
cucharada chil
amar xumalli
año tlazohtla
sal xihuitl
2 izta
luego ome
8 niman
5 chicuey
noche macuil
elote yohual
juan elo
vender juan
pedernal tlanamaca
6 tecpa
diego chicuacen
4 diego
llorar nahui
comal choca
vivir comal
manteca nemi
hongo chiyahuizotl
flor nanacatl
nopal xochi
escudo nohpal
día chimal
pollo tonal
atole poyox
zanahoria atol
ahora zanahoria
traficante axcan
san pochteca
trabajar san
morir tequiti
casa miqui
cuerpo chan
carne nacayo
masa naca
zapatista textli
maría zapatista
carlos maria
arroz carlo
azúcar arroz
después tzopel
mañana zatepan
ropa moztla
mercado tzotzoma
mucho tianquiz
mexicano miac
tamal mexica
mes tamalli
guerra metz
enojar yao
rico cualan
salir tlatquihua
obispo quiza
viento obispo
ciudad eheca
dialogar altepe
tortilla onotzalli
camisa tlaxcal
hoja huipil
mi izhua
llanto choqui
cuando ihcuac
otro occe
nuevo yancui
dios dios
naranja naranja
frase tlahtol
pasar pano
corazón yollo
húmedo cuechac
café fen
vena chilcuitlaxcolli
maestro temachti
ayudar palehui
sombrero cecahuil
1 motecuhzoma
moctezuma caxtol
15 nacochtli
orejera amox
libro mayana
hambre gabriel
gabriel tecuciztecatl
tecuciztecatl patlahua
ancho angel
ángel guadalu
guadalupe pia
qué tlen
más achi
mujer cihua
10 mahtlac
desarrollar mozcalti
familia yeliz
o ahnozo
pañete maxtla
manzana manzana
7 chic
rociar rociaro
clavo noch
amigo clavo
llano icnin
sol talmanic
catarinas tona
pepita catarina
papel ayohhuach
perro ama
vida chichi
caer nemiliz
20 huetzi
mazorca cempoal
grande izhua
allá hueyi
carpa ompa
huitlacoche carpa
gritar cuitlacoch
tuya tzatzi
jade mohuaxca
comida chalchihui
taza tlacual
tierra tecon
cuánto tlalticpac
silvia quezqui
patio silvia
hormiga itual
azcapotzalco azcat
madre azcapotzal
ámbar nantzin
zapata apozonal
collar zapata
arrodillar cozcatl
tarde motlancua
dueño teotlac
salsa axcatili
vecino chilmolli
tomate calehcapo
molleja toma
primero xaltemetl
oro achtopa
cucharadita teocuitla
adivínenlo xuxumalton
alguien xicadivinaro
buscar aca
barrer temoa
poco chpana
jitomate tepi
entrar toma
cómo calaqui
mentiroso quenin
saber iztlacatini
enfermo mati
izquierda cocox
nuestro pochcopa
coche calmimilo
me nech
esperar chia
licuadora tzoaloni
ala namoahtapal
espeso tetzahua
barranco atahuit
querer nequi
amarillo coz
gustar pactia
molcajete molcaxitl
remuneración taxtahuil
cierto melahua
miguel miguel
animal yolca
dar maca
palabra tlahtol
lejos huehca
dónde can
manantial ameyal
él yehua
contestar tlananquili
manta tilmah
preocupar motequipacho
medio nepantla
quetzal quetzal
bueno cual
detener moilochti
tigre ocelo
quesadilla tlatemitiltlaxcalli
español caxtilan
silla icpal
descansar mocehui
zapoteco zapoteca
comenzar pehua
docto tlamati
raíz nelhuayo
dormir cochi
caña aca
fuego tle
venir hual
caro patio
promesa nehtol
regazo cuexan
cuidador apiani
hombre tlaca
árbol cuahuitl
hígado ieltapach
palacio tecpan
estudiar machti
bien cual
relámpago petani
anteayer huiptla
venado maza
mover olinia
parecer neci
quedar cahua
cirio cirio
ayocote ayecoh
cerro tepe
miel necuh
tuyo mohuaxca
rojo chichil
chícharos calhuahza
lavar paca
arriba ahco
allí oncan
anciano ilama
tapar pachoa
campo xtlahua
calle oh
amaranto huauh
crecer hueyi
bajar temo
vapor ihpotoc
lengua enepil
comer cua
cama tlapech
camino oh
hervir cuacualaca
creer neltoc
oreja nacaz
