cebolla xonaca
ajo axox
kilo ki
aquí nican
haba ahuax
dinero tomin
chile chil
cucharada xumalli
amar tlazohtla
año xihuitl
sal izta
2 ome
luego niman
8 chicuey
5 macuil
noche yohual
elote elo
juan juan
pedernal tecpa
6 chicuacen
diego diego
4 nahui
llorar choca
comal comal
vivir nemi
manteca chiyahuizotl
hongo nanacatl
flor xochi
nopal nohpal
escudo chimal
día tonal
pollo poyox
atole atol
zanahoria zanahoria
ahora axcan
traficante pochteca
san san
trabajar tequiti
morir miqui
casa chan
cuerpo nacayo
carne naca
masa textli
zapatista zapatista
maría maria
carlos carlo
arroz arroz
azúcar tzopel
después zatepan
mañana moztla
ropa tzotzoma
mercado tianquiz
mucho miac
mexicano mexica
tamal tamalli
mes metz
guerra yao
enojar cualan
rico tlatquihua
salir quiza
obispo obispo
viento eheca
dialogar onotzalli
tortilla tlaxcal
camisa huipil
hoja izhua
llanto choqui
cuando ihcuac
otro occe
nuevo yancui
dios dios
frase tlahtol
corazón yollo
húmedo cuechac
café fen
vena chilcuitlaxcolli
maestro temachti
ayudar palehui
sombrero cecahuil
moctezuma motecuhzoma
15 caxtol
orejera nacochtli
libro amox
hambre mayana
gabriel gabriel
tecuciztecatl tecuciztecatl
ancho patlahua
ángel angel
guadalupe guadalu
qué tlen
más achi
mujer cihua
10 mahtlac
desarrollar mozcalti
familia yeliz
o ahnozo
pañete maxtla
manzana manzana
7 chic
rociar rociaro
clavo clavo
amigo icnin
sol tona
catarinas catarina
pepita ayohhuach
papel ama
perro chichi
vida nemiliz
caer huetzi
20 cempoal
mazorca izhua
grande hueyi
allá ompa
carpa carpa
huitlacoche cuitlacoch
tuya mohuaxca
jade chalchihui
comida tlacual
taza tecon
tierra tlalticpac
cuánto quezqui
silvia silvia
patio itual
hormiga azcat
azcapotzalco azcapotzal
madre nantzin
ámbar apozonal
zapata zapata
collar cozcatl
arrodillar motlancua
tarde teotlac
dueño axcatili
salsa chilmolli
vecino calehcapo
tomate toma
molleja xaltemetl
primero achtopa
oro teocuitla
cucharadita xuxumalton
adivínenlo xicadivinaro
alguien aca
buscar temoa
barrer chpana
poco tepi
jitomate toma
entrar calaqui
cómo quenin
mentiroso iztlacatini
saber mati
enfermo cocox
coche calmimilo
me nech
esperar chia
licuadora tzoaloni
ala namoahtapal
espeso tetzahua
barranco atahuit
amarillo coz
gustar pactia
remuneración taxtahuil
miguel miguel
animal yolca
palabra tlahtol
lejos huehca
dónde can
manantial ameyal
él yehua
contestar tlananquili
manta tilmah
preocupar motequipacho
medio nepantla
bueno cual
detener moilochti
quesadilla tlatemitiltlaxcalli
español caxtilan
silla icpal
descansar mocehui
zapoteco zapoteca
docto tlamati
raíz nelhuayo
dormir cochi
caña aca
fuego tle
caro patio
promesa nehtol
regazo cuexan
cuidador apiani
hombre tlaca
árbol cuahuitl
hígado ieltapach
palacio tecpan
estudiar machti
bien cual
relámpago petani
anteayer huiptla
venado maza
mover olinia
parecer neci
quedar cahua
cirio cirio
ayocote ayecoh
cerro tepe
miel necuh
tuyo mohuaxca
rojo chichil
chícharos calhuahza
arriba ahco
allí oncan
anciano ilama
campo xtlahua
calle oh
amaranto huauh
crecer hueyi
bajar temo
vapor ihpotoc
lengua enepil
cama tlapech
camino oh
hervir cuacualaca
creer neltoc
oreja nacaz
espejo tezca
recordar namiqui
puerco pitz
comprar cohua
blanco izta
cantar cuica
empezar pehua
plaza tianquiz
panza mazayelnanaca
comerciante oztomeca
gato miz
huir cholo
pie cxi
mexica mexica
germinar celi
canto cuic
ceniza nex
joven telpoca
girar malacacho
prontamente ciuhca
